Compiled_by,Database_ID,Species,Sex,Site,State,Country,Year,Diagnostic,Individuals,Indivs_positive,Collector_source,Orig_database,Disease_status,Accuracy,Latitude,Longitude,Dead_or_sick,Conservation_Status,Conservation_Status_Code,Stage,Genus,Family,State_FullName
RichardRetallick,30,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,31,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,32,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,33,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,34,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,35,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,1.0,D. Hunter,D. Mendez,positive,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,36,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,37,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,38,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,39,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,40,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,41,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,42,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,43,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,44,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,45,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,46,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,47,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,48,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,49,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,50,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,51,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,52,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,53,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,54,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,55,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,56,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,57,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,58,Pseudophryne pengilleyi,Female,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,1.0,D. Hunter,D. Mendez,positive,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,59,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,60,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,61,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,62,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,63,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,64,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,65,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,66,Pseudophryne pengilleyi,Female,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,67,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,68,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,69,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,70,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,71,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,72,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,73,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,74,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,75,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,76,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,77,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,78,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,79,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,80,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,81,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,1.0,D. Hunter,D. Mendez,positive,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,82,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,83,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,84,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,85,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,86,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,87,Pseudophryne pengilleyi,not recorded,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,88,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,89,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,90,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,91,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,92,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,93,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,94,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,95,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,96,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,97,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,98,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,99,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
